id,created_at,text,topic,action,retweet_count,favorite_count
8.93539E+17,2017-08-04T18:27:48Z,Meet Alexa Episode 3: Alexa and @AmazonFireTV team up to help Frank watch his favorite comedies. https://t.co/0QMTQ5XEaA,,,13,31
8.93262E+17,2017-08-04T00:06:01Z,"🎵 New music activities are available to soundtrack your day. Just ask, ""Alexa play music for cooking,"" and hundreds… https://t.co/qo3atqilAJ",,,20,48
8.91994E+17,2017-07-31T12:08:01Z,"Keep your brain sharp and discover interesting topics. Just say ""Alexa, open Curiosity"". Find more skills here:… https://t.co/PkF3ns64JN",,,12,46
8.91031E+17,2017-07-28T20:23:06Z,"🔊 on! Make every week Shark Week with #Sharknado5 celebrity alarms. 🦈 To set up, select alarms in your Alexa app an… https://t.co/i6pEICCU3h",,,14,29
8.90542E+17,2017-07-27T12:00:01Z,"Find out what happened on this day in history. Just say, ""Alexa, open This Day in History."" Find more skills here:… https://t.co/B77OnR69bM",,,21,60
8.90182E+17,2017-07-26T12:07:19Z,Did you know anyone can voice control their lights (and more!) with Alexa and the right smart home devices? 💡📺🔒📹 https://t.co/cufFhWE3bb,,,22,52
8.89567E+17,2017-07-24T19:24:01Z,"Celebrate National Tequila Day and say, ""Alexa, ask Patron to surprise me!"" 🍹 https://t.co/uDU2LIxgJk",,,13,33
8.8837E+17,2017-07-21T12:08:06Z,Meet Alexa Episode 2: Alexa helps Nanna multitask using named timers. ⏲️⏲️⏲️ https://t.co/RCxatOhAeu,,,24,49
8.88007E+17,2017-07-20T12:07:01Z,"The university competition to advance AI has reached the semi-finals. To try one of the socialbots, say, ""Alexa, le… https://t.co/214DV7d7jv",,,26,49
8.87643E+17,2017-07-19T12:00:14Z,Dish + Alexa = control what you watch with no hands! 🙌 https://t.co/ylnVRxH9kV,,,8,23
8.87283E+17,2017-07-18T12:07:08Z,"Play Jeopardy with new clues that refresh daily! Just ask “Alexa, open Jeopardy.” Find more skills here:… https://t.co/GD3IOyzP1i",,,17,53
8.87039E+17,2017-07-17T19:57:18Z,RT @HTCUSA: The #HTCU11 is the world's first smartphone with hands-free Amazon Alexa. Try it out now on your U11: https://t.co/E6ngiKAtId h…,,,40,0
8.8692E+17,2017-07-17T12:07:01Z,"Alexa can now notify you the day your Amazon order arrives with a glowing yellow ring of joy! 💛📦 Ask, “Alexa, where… https://t.co/zhI2vghmNd",,,24,98
8.85833E+17,2017-07-14T12:07:01Z,"Busy hands? Control your smart TV with Alexa and your voice. 🤓📺 Learn how with Sony, Logitech Harmony, &amp; Broadlink:… https://t.co/bPMcXwpfJL",,,27,57
8.85471E+17,2017-07-13T12:07:01Z,"Fall asleep peacefully with Sleep and Relaxation Sounds. 😴 Just say, “Alexa, open Sleep Sounds.” Find more skills:… https://t.co/aWGWPAzmMA",,,17,101
8.84895E+17,2017-07-11T21:58:51Z,"RT @amazonmusic: Oh hey, @ddlovato 😍. #AskAlexa, ""Play Song of the Day"" &amp; hear her new single ""Sorry Not Sorry""! #PrimeDay https://t.co/tyd…",,,2410,0
8.84383E+17,2017-07-10T12:07:02Z,"Your destination? Dunkirk. Your goal? Survival. Just say, “Alexa, enable Dunkirk” to play the adventure game now:… https://t.co/H3zsCepQxX",,,9,26
8.83659E+17,2017-07-08T12:08:08Z,Meet Alexa Episode 1: We learn how Alexa helped Teddy prepare for tonight's full moon so he could play the big game… https://t.co/tptzL6tchQ,,,24,50
8.8341E+17,2017-07-07T19:39:30Z,TGIF. Move over Tanners. Introducing Meet Alexa! Stay tuned for fresh new episodes to see how Alexa saves the day f… https://t.co/RqRgIXBcnR,,,14,43
8.82932E+17,2017-07-06T12:00:01Z,"Let Twenty Questions guess what you’re thinking of! Just ask “Alexa, play Twenty Questions.” Find more skills here:… https://t.co/snnsRNdZyr",,,10,38
8.80758E+17,2017-06-30T12:00:06Z,"Echo Show owners, ask Alexa to play the trailer for the movie Valerian to watch an exclusive clip of this summer's… https://t.co/RcWHolZcnw",,,27,62
8.80397E+17,2017-06-29T12:07:22Z,Expand your spidey senses. 🤔🕷️ Just #AskAlexa to enable the Spider-Man skill. https://t.co/luPA80XCLo,,,27,79
8.79814E+17,2017-06-27T21:29:40Z,Fallon fans rejoice! Now Alexa can show you @FallonTonight on the new Echo Show! 👏Check out Jimmy's post to learn h… https://t.co/WJLBP3Doyl,,,22,34
