id,created_at,text,topic,action,retweet_count,favorite_count
9.60E+17,2018-02-04T23:24:25Z,RT @Jasondinhsum: Ask your Amazon Alexa whoâ€™s gonna win the Super Bowl.,Entertainment,Trivial,30,0
9.59E+17,2018-01-31T21:08:45Z,"RT @GordonRamsay: Sure, I can tell you the weather and how to cook your food....But telling people how it is, is what I do best ! #AskAlexaâ€¦",Promotional,Trivial,181,0
9.58E+17,2018-01-29T01:03:28Z,"Sounds like Alexa might have lost her voice, but who could possibly replace her? https://t.co/ipDBNHjV5k",Promotional,Trivial,444,704
9.56E+17,2018-01-24T18:52:07Z,"RT @amazonfiretv: Did you know that you can control apps like @PlayStation Vue with your voice? Just say ""Alexa, play Mr. Robot on PlayStatâ€¦",Entertainment,IoT,10,0
9.54E+17,2018-01-19T17:10:52Z,RT @ultimateears: As if #BLAST and #MEGABLAST couldnâ€™t get any *more ultimate*: use Alexa to control your favorite music on @siriusxm and @â€¦,Entertainment,Streaming,8,0
9.51E+17,2018-01-10T13:01:01Z,"Are you a know-it-all when it comes to Sports Trivia? Sports Jeopardy! is perfect for you. Just say â€œAlexa, play Spâ€¦ https://t.co/l1XsoiNu2X",Entertainment,Basic,11,25
9.51E+17,2018-01-10T03:50:36Z,"New at #CES2018 The @polkaudio Command Bar, a sound bar system with Alexa built-in. Learn more:â€¦ https://t.co/0j82vQM3eG",Digital_Lifestyle,IoT,37,74
9.51E+17,2018-01-09T22:30:34Z,"RT @Toyota: Hey #Alexa... Iâ€™m on my way home, turn on the lights and crank up the heat! Read more from todayâ€™s special announcement from #Câ€¦",Digital_Lifestyle,IoT,177,0
9.51E+17,2018-01-09T18:15:44Z,"New at #CES2018 Meet the Onelink 'Safe &amp; Sound' by @FirstAlert, a smoke and carbon monoxide alarm with Alexa:â€¦ https://t.co/K75rC5eaZS",Digital_Lifestyle,IoT,28,68
9.51E+17,2018-01-08T22:01:01Z,NewÂ atÂ #CES2018:Â JabraÂ bringsÂ AlexaÂ on-the-goÂ withÂ newÂ EliteÂ 65tÂ trulyÂ wirelessÂ headphones:Â https://t.co/T1qHJ7ETU8 https://t.co/J9zGWwitbZ,Entertainment,IoT,20,45
9.51E+17,2018-01-08T21:01:01Z,"NewÂ atÂ #CES2018:Â AlexaÂ comesÂ toÂ PCsÂ fromÂ @HP,Â @Acer,Â andÂ @ASUS,Â allÂ powered byÂ @IntelÂ andÂ AmazonÂ technology:Â â€¦ https://t.co/000DMEqsr9",Digital_Lifestyle,IoT,53,140
9.51E+17,2018-01-08T20:01:01Z,"NewÂ atÂ #CES2018:Â @Hisense_USAÂ introducesÂ 100""Â 4KÂ TVÂ withÂ hands-freeÂ Alexa:Â https://t.co/5sQELvc01g https://t.co/pccGEh5SKZ",Entertainment,IoT,17,49
9.49E+17,2018-01-03T13:01:01Z,"Alexa is in on the fun with this game show classic! Play Audience Match and Head-to-Head. Just say, â€œAlexa, play Maâ€¦ https://t.co/XJVkaFSOR8",Entertainment,Trivial,22,64
9.46E+17,2017-12-28T13:13:38Z,"Alexa teamed up with Amazonâ€™s Acapella group, Vocally Self Critical, to record this #NYE anthem, just ask Alexa toâ€¦ https://t.co/tGRODB83kb",Promotional,Trivial,36,76
9.46E+17,2017-12-26T13:12:01Z,"Cast up to 10 votes per day with the NBA All-Star skill. Just say â€œAlexa, help me vote for the NBA All-Star Gameâ€ tâ€¦ https://t.co/YCClimzscN",Promotional,Basic,11,16
9.45E+17,2017-12-23T13:12:01Z,"Teen Jeopardy! is the perfect game for the budding genius in your family. Just say, â€œAlexa, play Teen Jeopardy!â€ toâ€¦ https://t.co/RaTXD87I2M",Entertainment,Basic,9,22
9.44E+17,2017-12-21T13:12:39Z,Need to set some holiday cooking timers this weekend? Or perhaps a holiday nap timer? Alexa is ready to handle allâ€¦ https://t.co/7x2qXzvwMH,Productivity,Basic,9,32
9.44E+17,2017-12-20T13:12:01Z,Now you can play Ellen DeGeneres' favorite game with Alexa! How many guesses can you get right in 90 seconds? Justâ€¦ https://t.co/1IoalY7l18,Entertainment,Basic,27,118
9.43E+17,2017-12-20T00:35:29Z,RT @NoradSanta: Get the #NORADTracksSanta skill to ask Alexa about Santaâ€™s Yuletide journey around the world! @amazonecho https://t.co/ai70â€¦,Entertainment,Trivial,49,0
9.43E+17,2017-12-19T13:12:21Z,What to wear today? What to pack this weekend? Alexa has meteorology skills to help get you out the door. Discoverâ€¦ https://t.co/g1lPk4hAlN,Productivity,Basic,13,35
9.43E+17,2017-12-19T00:12:02Z,"""Alexa, turn on holiday."" ðŸ”Œ âœ¨ðŸŽ„Learn how to use smart plugs and more to create a holiday routine that turns on all yâ€¦ https://t.co/4JHSDwa0Nc",Digital_Lifestyle,IoT,12,36
9.41E+17,2017-12-14T23:20:48Z,"ðŸŽ‰ Welcome to Alexa, Ellen! We can't wait to play heads up! https://t.co/V3jl7GwCXf",Entertainment,Trivial,10,49
9.41E+17,2017-12-14T13:12:30Z,Alexa can make any home into a voice controlled smart home â€” even the gingerbread kind. Find out what else Alexa caâ€¦ https://t.co/iUIGciCptt,Entertainment,IoT,2042,52
9.41E+17,2017-12-13T13:12:17Z,Alexa can keep you up to date with the latest news from your most trusted publishers with a daily flash briefing.âš¡ï¸â€¦ https://t.co/1IjMgsRyg6,Productivity,Basic,14,39
9.41E+17,2017-12-13T00:25:20Z,"Twitch is now available on Alexa which means you never have to let go of the controller! Just say â€œAlexa, open Twitâ€¦ https://t.co/YXn6p7jTeH",Entertainment,IoT,12,27
9.40E+17,2017-12-11T18:00:01Z,With the new Vroom skill for Alexa you can help nurture your child's growing mind with fun activities you can do toâ€¦ https://t.co/HT4sIhQ6Wp,Productivity,Basic,21,42
9.40E+17,2017-12-09T13:12:13Z,"â€œAlexa, play The Handmaid's Tale on Hulu.â€ Pair your @AmazonFireTV and Echo device for hands-free control of apps lâ€¦ https://t.co/CJGDdzRZDE",Entertainment,IoT,10,40
9.39E+17,2017-12-08T13:12:24Z,Canâ€™t decide on your #OOTD? Let Alexa help you look your best every morning with #echolook. Tune into @TheView todaâ€¦ https://t.co/OJsSJgqfBp,Productivity,Basic,15,39
9.38E+17,2017-12-06T13:12:14Z,"Spoiler alert! Did you know you can ask Alexa for music by genre, mood, or even lyrics with a subscription to Primeâ€¦ https://t.co/468O0Wn5bq",Entertainment,Streaming,18,47
9.37E+17,2017-12-02T13:12:15Z,"â€œAlexa, play The Good Place on NBC.â€ Pair your @AmazonFireTV and Echo device for hands-free control of apps like NBâ€¦ https://t.co/8DaW16bpA3",Digital_Lifestyle,IoT,9,44
9.36E+17,2017-11-30T20:02:33Z,RT @amazonmusic: The @U2 Experience: Tune in NOW to https://t.co/tX8uYhsK9J or Ask Alexa â€œPlay The U2 Experienceâ€ to stream new music &amp; intâ€¦,Entertainment,Streaming,159,0
9.36E+17,2017-11-29T13:11:41Z,Want to get know Alexa? Just ask. Discover more things Alexa can do: https://t.co/GZXqOcwLtc https://t.co/KAlQ80KZVL,Promotional,Basic,13,43
9.34E+17,2017-11-23T13:11:13Z,Don't forget to name your timers today! Alexa can set multiple named timers to keep track of all your Thanksgivingâ€¦ https://t.co/rqKgvBYgq6,Productivity,Basic,19,96
9.33E+17,2017-11-22T13:11:16Z,Life is full of questions. Ask Alexa. ðŸ¤” Discover more things Alexa can do: https://t.co/JKzfPoqQpr https://t.co/x1gxYpC4DX,Promotional,Basic,10,30
9.31E+17,2017-11-16T13:11:27Z,"Keep your hands full of nachos, not remotes. Hands free video streaming and voice shopping with Alexa.â€¦ https://t.co/4psa3zssBO",Entertainment,IoT,11,22
9.30E+17,2017-11-14T13:11:02Z,"Plan your Thanksgiving menu with Alexa â€“ just say â€œAlexa, itâ€™s turkey timeâ€ to get started! ðŸ¦ƒ https://t.co/vBnWCmzacC",Promotional,Basic,6,26
9.29E+17,2017-11-09T21:42:38Z,"RT @amazon: Just ask, ""Alexa, let's shop Oprah's Favorite Things"" to get holiday ready with Butter London. #OprahsFavoriteThings https://t.â€¦",Promotional,Trivial,31,0
9.28E+17,2017-11-07T00:58:05Z,"RT @KUWTK: Happy birthday from these iconic voices to another. #HBDAlexa! Celebrate by saying â€œAlexa, open Kardashian Quote Game.â€ https://â€¦",Entertainment,Trivial,34,0
9.28E+17,2017-11-07T00:10:05Z,"RT @WEMO: Weâ€™re celebrating the power of our voice today. Happy birthday, @amazon Alexa. https://t.co/XL7QKqTXqZ. #HBDAlexa @amazonecho hâ€¦",Promotional,Trivial,6,0
9.28E+17,2017-11-07T00:09:09Z,RT @dish: Happy Birthday to a great listener: our friend Alexa! @AmazonEcho #HBDAlexa #HandsFreeTV https://t.co/pUgs3SHoSs,Promotional,Trivial,12,0
9.28E+17,2017-11-07T00:07:24Z,"RT @iHeartRadio: ""Alexa, play Happy Birthday on iHeartRadio"" ðŸ˜€ðŸŽ‚ Have the best 3rd birthday! #HBDALEXA @amazonecho https://t.co/hjMIxHlSQy",Entertainment,Trivial,14,0
9.28E+17,2017-11-06T22:30:39Z,"RT @smartthings: Happy Birthday to our friend that helps light up our life, @AmazonEcho Alexa! #HBDAlexa https://t.co/ESkH14vsgg https://t.â€¦",Promotional,Trivial,14,0
9.28E+17,2017-11-06T20:00:43Z,"RT @HTCUSA: TO: Alexa
 FROM: HTC, who you allowed to go hands free anywhere
 
 #HBDAlexa! https://t.co/Gg7Jr8NjGk",Promotional,Trivial,14,0
9.28E+17,2017-11-06T19:59:44Z,RT @HISTORY: Wishing Alexa a #HappyBirthday! Enable #ThisDayinHistory to learn about new historical events everyday. #HBDALEXA https://t.coâ€¦,Promotional,Trivial,9,0
9.28E+17,2017-11-06T19:40:15Z,RT @ArloSmartHome: #HBDAlexa from Arlo! Thanks for helping us keep an eye on thingsâ€”completely hands-free. @AmazonEcho https://t.co/SYUI7hGâ€¦,Promotional,Trivial,6,0
9.28E+17,2017-11-06T19:38:44Z,RT @Schlage_Locks: Celebrate Alexa's 3rd birthday with these savings on @amazonecho devices. #HBDAlexa https://t.co/Yee3Obtzzu https://t.coâ€¦,Promotional,Trivial,5,0
9.28E+17,2017-11-06T19:23:32Z,RT @amazon: That's one smart three year old. #HBDAlexa https://t.co/q9944L2gl9,Promotional,Trivial,201,0
9.28E+17,2017-11-06T19:09:34Z,RT @AugustHomeInc: #HBDAlexa! You may be only three years old but you've really shown us that you've got things on lock. ðŸ˜‰ https://t.co/qpXâ€¦,Promotional,Trivial,5,0
9.28E+17,2017-11-06T17:53:38Z,"RT @amazonnews: Happy 3rd birthday, Alexa! #HBDAlexa
 https://t.co/bfo17xiDZr",Promotional,Trivial,65,0
9.28E+17,2017-11-06T17:33:39Z,"RT @ecobee: It might be Alexaâ€™s Birthday, but YOU get the presents. Today only, get $40 OFF ecobee4 smart thermostats #HBDAlexa https://t.câ€¦",Promotional,Trivial,20,0
9.28E+17,2017-11-06T15:53:13Z,RT @amazonmusic: #HBDAlexa ðŸŽ‰ Visit https://t.co/MXQpabQQ2h &amp; join our celebration ft. limited time deals &amp; offers on @AmazonEcho devices &amp;â€¦,Promotional,Trivial,20,0
9.28E+17,2017-11-06T14:53:59Z,RT @amazonfiretv: Today we're celebrating Alexa's 3rd birthday. ðŸŽ‚ ðŸŽðŸŽˆ #HBDAlexa https://t.co/dD0mE0be1D,Promotional,Trivial,26,0
9.27E+17,2017-11-03T18:55:00Z,RT @JeffBezos: Congrats to the @BestBuy team on their new Alexa skill. Customers can now find and shop Best Buy deals on Alexa. Nice! httpsâ€¦,Promotional,Trivial,435,0
9.26E+17,2017-11-03T00:04:57Z,"RT @amazon: Enjoy an exclusive shopping experience by asking, â€œAlexa, letâ€™s shop Oprahâ€™s Favorite Things.â€ #OprahsFavoriteThings https://t.â€¦",Promotional,Trivial,38,0
9.25E+17,2017-10-31T12:10:18Z,Haunted House or Alexa controlled smart home? You decide. ðŸ‘» ðŸ˜± https://t.co/SgOUOvhNmj,Digital_Lifestyle,IoT,42,115
